reviewer_name,review_date,review_star_text,review_star_count,review_helpful_count,review
Psv Prasad,"October 4, 2020",Rated 1 stars out of five stars,1,2,"Hopeless App. It will show only contacts of who have internet and blue tooth facility. What about thousands, lakhs of people who have come into your contact but don't have moblies or internet ? Next thing it will not alert you when a high risk person is standing next to you. After wards only it will show number of low risk, medium risk or high risk persons came in to your contact in last 30 days."
Fani Raj Mani Chandan,"September 27, 2020",Rated 1 stars out of five stars,1,2,Data gathered seems to be bogus. It shows that I have been in contact with covid infected person at time when I am fast asleep at my home or when I know there is no possibility of me being in touch with infected person.
Roshan khatri,"October 11, 2020",Rated 1 stars out of five stars,1,0,"World biggest useless app. No one help and support in 1075. There call center always provide state help line number. State provide mcd help line number. Mdc say call to police. Police say i cant do any help. Facings problems 1. In Near covid patient. (No wearing mask, continously go outside from there home etc. 2. In our apartments after corona patient confirmed. Not poster in our apartment, no sanitizer in there home or apartment. 3 more issue Totally useless app"
Rajesh Chaurasiya,"October 3, 2020",Rated 1 stars out of five stars,1,337,Really totally useless application. I have custom rom installed i.e.. lineage os installed. but this app won't open on my phone . Saying rooted device when my phone is not rooted. All payment app opens and works fine. Buy this app is hell. Why the hell it does note open on my phone. Not only this one also bhim does not open too. What kind of security is it??
Rajeev Bharel,"October 23, 2020",Rated 4 stars out of five stars,4,1,Stuck at registration window. The Govt days all international passengers should have it installed. The system doesn't accept International phone number. How can I install it without having a India number? Revised for excellent customer support and the error is not at their end.
Vaidyanathan,"October 29, 2020",Rated 3 stars out of five stars,3,1,"It is not giving alert, when we are near the positive cases. Try to improve to give alert sound when we are near the positive person. Otherwise it's a good attempt to create awareness"
Yogesh PD,"October 7, 2020",Rated 5 stars out of five stars,5,2,"App works well. It has helped me and my office staff ( SME) to take care and keep our office functional since 1st June. Obviously, it is an inferential advice and not a test result."
Khushboo Kumari,"November 22, 2020",Rated 1 stars out of five stars,1,1,It is a useless app . Covid updates are not updated for 2 days.. It is not showing risk status of 1 unknown person . I have tried many times. Need very much improvement.
AMIT SHARMA,"December 4, 2020",Rated 4 stars out of five stars,4,0,I know if nothing is reliable than you have to keep your belief on something this app is little bit just like the same. I have noticed many times the data providing with this app is quite different from other counters which losts it's authenticity although this is a government app.
Shankha Majumder,"December 6, 2020",Rated 1 stars out of five stars,1,0,Have to keep Bluetooth on at all times which drains the battery a lot. Analysis done in the app is also not very accurate.
Prateek Jain,"September 26, 2020",Rated 1 stars out of five stars,1,24,"Stupid App. It keeps showing that you are safe, even if you come in contact with a Covid patient. I beacme Covid positive and uploaded my data to the government servers as it asks in case you are found positive. I isolated myself in a room. My father is also using this app but it always shows his status as safe even though we are in the same house and were sitting together the whole day before I was found positive. It never even warned him that a recent contact is found positive."
Aruna Pandit,"November 25, 2020",Rated 2 stars out of five stars,2,0,"Even someone tested negative as per private lab data person last positive data still shows, we cannot update on it. I got Covid19 and on 15th Nov I got negative even till 21-22 it was showing my status negative. There are lapses from private lab test day get converted your App status."
Santosh kumar Das,"December 1, 2020",Rated 5 stars out of five stars,5,1,"This app not bad but it's not useful in this corona virus time. If they are connected directly to health ministry and supported to all covid medical then it's very much effective......."" Thank read my comment""."
vijay laxmi,"December 2, 2020",Rated 1 stars out of five stars,1,1,The arogya setu app has been detected as a malware by malwarebytes security software for android platform. I have download it from playstore and when scanned the device for malware. It detected arogya setu as a trojan malware. The particular line it says is Android.Trogan.Spy.Ahmyth.goi And says that it is a threat and has to be removed as soon as possible
Anju Mishra,"October 13, 2020",Rated 5 stars out of five stars,5,379,This application is excellent. I shall urge every Indian citizen to download this application as it can really save lives. I have a few recommendations- 1) The application should alert you with frequent messages or a siren (through the phone's speaker) when a COVID-19 patient is nearby. 2) The application should be modified so that it consumes less battery. Keeping the bluetooth and location on all the time drains the phone's battery at great pace. Hoping for some improvement. Jai Hind 🇮🇳
Atul Kumar Gupta,"November 26, 2020",Rated 4 stars out of five stars,4,0,This is a very useful app when you where far from your home but the only negative point about this app to open the Bluetooth every time.
Mibon Teng,"September 26, 2020",Rated 1 stars out of five stars,1,0,"Really useless... What is the meaning of this app if it does not show the total no. Of infected person nearby me and its location. And why it's compulsory to have this app for flight boarding, metro station and also for college & other institutions."
Santosh Holla,"October 13, 2020",Rated 1 stars out of five stars,1,0,It could be made much better as the app will tell you after 3 or 5 days that you had come in contact with a person who is affected. Instead of alarming the user in the first place when he is near person who is affected.
Sunil Kumar,"October 9, 2020",Rated 3 stars out of five stars,3,0,I had a bit of problem earlier because the app didn't changed my status after I had recovered but now it has changed my status..Still it doesn't show me that I am herd immune which could have been better hoping for same in next update..😊
ASN Murthy,"October 3, 2020",Rated 1 stars out of five stars,1,229,"Of late App closing abruptly with message 'bluetooth is not on' even when Bluetooth is on. I am unable to use the app on my oneplus3 & uninstalling. Phone Oneplus3 2016 model, Not rooted, running on Android version 9, with Oxygen OS: 9.0.6, Message asks to turn on the Bluetooth & willbe on loop when you hit turn on option & quits when you choose close option. Sim is from BSNL in slot 1. Phone is used in Bangalore, Karnataka."
PRATHAMESH SURYAVANSHI,"November 23, 2020",Rated 1 stars out of five stars,1,1,"It is worst app, as it dosen't show the person affected from covid Actually one star is more for it if there was zero star then I would have given zero star for this app. And now it is not logging me in. Please do something for it.🙏🙏🙏🙏"
Anant Shivaji More,"October 11, 2020",Rated 5 stars out of five stars,5,156,"Good app for current pandemic, however also want to make a suggestion to add some content for post COVID management for persons who have been recovered from this infection. Tools or charts to monitor and log BP, O2 Level, temperature or any other relevant like onset of the infection, where treatment has been taken, location, hospital etc along with preventive measures or remedies further it will be helpful a lot."
Akarsh L,"October 21, 2020",Rated 1 stars out of five stars,1,28,"This app is completely useless. i think this app is fake. Because when it's( green) not showing recent contacts time and address , When it's( yellow)then only show's time and address why???? Don't trust this app really fake fake verrry fake app .This app take star ratings to post i don't like to rating but i give 1star because to post i had very bad experience don't give star ratings to this app it's fake"
rashmi poojary,"November 25, 2020",Rated 3 stars out of five stars,3,0,"Not able to login into the app. The error says ""login error"" and also ""generic error"". Was working fine before but on the new phone it's not working. Kindly reply"
Rakesh Singh,"September 28, 2020",Rated 1 stars out of five stars,1,2,Not able to register. After selecting submit no further option shown. Please resolve this issue. I followed the directions as recommended by them but problem still persist. After two emails they are not replying what we have to do?
Parul Singh,"November 2, 2020",Rated 1 stars out of five stars,1,15,Completely useless. My father is covid positive and we live together. Although he is in isolation in a separate room but still we are inside the same house and in order to take care of him i often take food to him and this app still shows me to be safe and all nearby users to be safe too. I don't get what this app is doing.
Virender Kumar,"December 8, 2020",Rated 1 stars out of five stars,1,0,can not trust this app. My neighbours (2 people) has tested positive and it shows zero case in 1 km radius. They are at home isolation.
Sahil Saini,"October 3, 2020",Rated 2 stars out of five stars,2,96,It should have more features.It have the option of voice testing of the patient to detect symptoms by his/her voice and has the social distancing feature which alarms when person to person distance is <6 feet with the help of bluetooth and wi fi.If any person have the corona symptoms it should connect with hospital and police to isolate that person from spreading the virus to others.
TheSurajSite Tech,"December 8, 2020",Rated 2 stars out of five stars,2,0,Recovered and Deceased bar graph is not properly visible at all. Please improve it. EDIT: I have sent an email with screenshots regarding this problem.
abdullah munshi,"September 19, 2020",Rated 1 stars out of five stars,1,16,We are trying to install this app in new Zealand as it is mandatory to have it before we travel to India but when we enter mobile number and click submit button it says There is some error logging you in and not getting any otp. How do we get it working? Why there is no option to enter any other country number when you are making it mandatory for travel to India Please suggest and assist at earliest
Jaspal Singh,"October 11, 2020",Rated 1 stars out of five stars,1,2,"I don't find any useful thing in this app.I am no uninstalling it but the app does not behave in required manner.You call for self assessment but when it is completed,it does not move an inch and keep on calling for reassessment. Pl correct and remove the lacuna"
Anupam Ghosh,"October 5, 2020",Rated 4 stars out of five stars,4,0,"Good app. Please add timer setting feature for specific time ON and OFF. Usually we forgot to turn it ON everyday. Will be easy like alarm setting, we can set the time for useage."
Harsh wardhan,"October 14, 2020",Rated 1 stars out of five stars,1,0,Edit 1: if I have to restart my phone everytime I update then the usability of the app is zero. Devs need to fix it. Prev-review: Like everytime I open the app it asks me to re-register myself. I now even doubt if the info shown on the app is actually latest or not.
Prabhu Sahu,"November 17, 2020",Rated 5 stars out of five stars,5,28,This app is very good you can see the covid updates daily and the thing that I mostly like is that it shows the cvoid updates of all the states. You can see here the total amount of people recovered daily and you can also call the helpline number.Overall the app is very good. well done👍👍
nandini kulkarni,"October 18, 2020",Rated 3 stars out of five stars,3,1,"The app is installed but when you open it, it shows open again..did several things like uninstalled n installed again (many times), switched off the phone, cleared space but doesn't help and facing inconvenience to show at work..is there any other option other than reboot"
Ramakrishna Chowta,"November 25, 2020",Rated 1 stars out of five stars,1,0,"Can't register my mobile no I have reinstalled this app 3 times still gives the same reason ""there is some error logging you in"" please look into the matter and solve the peoblem"
Jeremy Bosch,"November 24, 2020",Rated 1 stars out of five stars,1,0,Zero tracking information and absolutely terrible notification system. There is no use of this app with/without bluetooth and with/without GPS. With this app the govt of India just blindly want to show they are taking atleast some stupid efforts..but honestly this app is completely useless.
Saish Nevgi,"October 2, 2020",Rated 3 stars out of five stars,3,2,Not sure if app works correctly. But logsout the user randomly at anytime. App asks user to login back if you open it after few days. When the user logsout bluetooth contact tracing no longer works making the app useless. User is not even aware about it.
Pravin's Cuisine,"September 12, 2020",Rated 1 stars out of five stars,1,5130,"Totally useless app. If it has real time data on positive patients and their location, with my Bluetooth always on I expect that it warns me when I am in the vicinity. It does not. Moreover, now that I have 2 next door, it has no clue, it does not show them. It caused undue stress on me telling me I am at risk, two days after I may have crossed someone in a busy intersection. It is simply, ineffective, useless. I am not removing it only because some places want to check it."
ishan wankhade,"November 19, 2020",Rated 1 stars out of five stars,1,0,Pathetic app by the government. If the person don't have mobile and if he gives mobile number of other family member while testing. It shows positive on that person's mobile. illogical and irrelevant. the person suffers due his positive status though he is not positive and just by sharing his contact on behalf of his family member.
Ankur Swami,"November 18, 2020",Rated 1 stars out of five stars,1,0,Not working properly.. every time i open this app to know about whats going on it is keep on processing only. Nothing show up on the app page...👎
Anuman Consultant,"November 13, 2020",Rated 1 stars out of five stars,1,11,Honestly don't know how much this app is reliable and trust worth! Unless one gets registered with govt you will never know If anyone is infacted around! Which will be too late by the time one get notifications. It also needs to show the infacted / high / moderate person's number or if the person is on our contact list. That's will help us to keep more distance. It should also immediately prompt on the cell as pop up rather than we come to knowonly when we check the cell.
Akash Deshmane,"October 9, 2020",Rated 1 stars out of five stars,1,0,"Seems to be useless app, data uploading as per their comfort, sometimes they upload in early morning, sometimes afternoon or evening time. Graph Color visualisation very very very poor and worst quality."
mohan poojary,"October 21, 2020",Rated 4 stars out of five stars,4,1,"Good App. Please change the color of the bar graph. When you select ""Recovered"" cases the bar graph is white in color and cannot be seen in daily basis"
Vivek Prasad,"November 29, 2020",Rated 1 stars out of five stars,1,6,"The initiative of the app was to ensure safety & to protect human beings itself from COVID virus however, the app itself seems to prone to it & infected by Trojan spyware as diagnosed by antivirus softwares. Since, the government has taken a wonderful initiative with a beautiful concept to make people aware about contaminated zones & to avoid physical contacts to ensure safety. So, would request govt to take appropriate action to make it malware free so that we can use it without any concerns."
Nitish Jha,"November 24, 2020",Rated 1 stars out of five stars,1,0,"Trustworthy of this app is reducing day by day, it shows I came in contact with an infected person. The location showing in the app of infected person is where I never gone in my life and also not near to my workplace. I had never been to Sarojani Nagar and app is showing that I came in contact with an infected person at 8:54 pm. At the same time I was at some other place. Finding it useless app."
Banasri Ghosh,"November 25, 2020",Rated 1 stars out of five stars,1,0,Worthless app...Everytime I try to get myself registered and enter my phone number it's says Error logging you in and it keeps on saying that everytime I register
Biswajeet Nath,"December 3, 2020",Rated 4 stars out of five stars,4,3,All login problem has resolved. It's always better to be careful & cautious rather than blindly follow it.
anupriya soni,"October 8, 2020",Rated 2 stars out of five stars,2,0,My aarogya setu App is not getting refreshed or updated. Again and again it's coming webpage not available. Kindly fix! I am not able to do self assessment as well as it's not opening properly.
Komal Patel,"October 27, 2020",Rated 3 stars out of five stars,3,101,This app is best but I am facing a problem from this app I can't see the icon of this app on my screen why this is happening... I can't understand anything.. Can you solve my problem please . Thank you for making this app.. It also not give sound while positive cases near me in my side home one positive case but it does not give any type of sound..
Sandeep Chakravarti,"November 7, 2020",Rated 1 stars out of five stars,1,91,"It doesn't work properly, even after testing Covid 19 negative, app is still showing Red and says I am still infected. All the people around me our troubled because of that. My status has not changed. I am left with no option but to delete the application until it is corrected. It is disappointing when you visit places where Aarogya Setu application is mandatory. Needs lot of improvement."
Jayant Tewari,"November 10, 2020",Rated 5 stars out of five stars,5,3,Have installed it over 2 months ago ... Regularly referred to it too ... Have seen real time updates of proximity as well as status ... Have neither been tested nor have needed it for any travel. Nearby contacts utility is a great comforter !!!
Saravana Kumar T L J,"October 31, 2020",Rated 4 stars out of five stars,4,2,Good app for tracking infection. Now a days the location capturing works wrong. App showing i was in contact with an infected peraon On 26th Oct near Dwarka. How ever I did not visited that area for the last 3 months.
Sumit Mukherjee,"November 4, 2020",Rated 1 stars out of five stars,1,5,"Doesn't work without WiFi. Defeats the purpose of installing it. Had a terrible time showing it for entering one place and had to remove and reinstall to make it work again. Done it 3-4 times already. Constantly says update app, but no updates are available. Pathetic operation!"
Rajni Sharma,"September 29, 2020",Rated 1 stars out of five stars,1,8,"Uninstalling on 29 sept. Bad implementation, blind approach. We found few positive cases in neighbourhood a month ago but not got any alert in the app. Thankfully they recovered. Not any help from the government too, only fake promises. People are dying everyday and the government has failed."
G-79 Chandramouli Santra,"October 30, 2020",Rated 1 stars out of five stars,1,0,"Useless app ever!!!! No security of our Data, always have to keep Bluetooth on to get notified....even a covid positive person is near it'll not notify you unless you turn of the bluetooth. The worst thing about this app is it's security."
Vicky 333,"October 19, 2020",Rated 1 stars out of five stars,1,1,"Not able to register. I am trying to register but the app the is saying ""there is some error"" when I enter the valid mobile number. This is not a valid error also poor user friendly application"
Ashis De Tarafdar,"December 4, 2020",Rated 1 stars out of five stars,1,1,"I am unable to register. It has been more than a month that I am trying. Every time I attempt, the OTP comes along with a message that log in failed. Looking for a resolution. Ashis De Tarafdar"
Nakshatra Wadhwa,"November 5, 2020",Rated 2 stars out of five stars,2,0,It says error logging you in. It says OTP has been sent to your device but I don't get any OTP in spite of trying many times and double checking my number. Expected a lot from this app.
Vijay Saini,"November 22, 2020",Rated 2 stars out of five stars,2,0,"Latest app version is not working on MI A3. I am getting error message ""there is some error logging you in"" when I click on ""Register"" after providing mobile number.."
Raj shakya,"December 13, 2020",Rated 1 stars out of five stars,1,0,Very helpful app because it help me knowing the covid update daily of the state and in whole counrty but sometime it doesnot display update .So it should be maintain but overall it is nice app
Amit Bharti,"October 12, 2020",Rated 3 stars out of five stars,3,0,"Dear NIC team, I m not able to log in the app. It always says, OTP sent but we did not receive any OTP., unable to login further. Please help yo resolve this issue immediately."
Sushmit Roy,"August 22, 2020",Rated 3 stars out of five stars,3,3873,"During the registration process after downloading the app, I am asked to enter my mobile number to get an OTP. However, in spite of waiting for several minutes I don't receive the OTP. Then when I click of ""resend OTP"", I get a prompt saying ""there's some error logging you in"". I have uninstalled and reinstalled the app several times, but I am still facing the same issue. Any idea how to resolve it?"
Mithun Dsouza,"October 6, 2020",Rated 1 stars out of five stars,1,2,"Really hopeless app.. it doesn't have any real time update... Even though u have registered in govt hospital giving contact details for OTP for covid 19 test, it doesn't show any update... Simply like fooling people by showing something and telling something... For govt level this is not appropriate application... Additionally that Ajay Devgan ad. Arogya setu app ur body guard 🙏😝😝😝"
naveen kumar,"October 27, 2020",Rated 4 stars out of five stars,4,1,"Hi, It constantly logs one out like it has done me now. Now i am not able to register myself with my mobile number. It is popping out error repeatedly. Look into this issue and resolve it asap. Thank you."
Shweta Mehta,"October 30, 2020",Rated 5 stars out of five stars,5,5,"Great app. But I would suggest that you also show the graph of COVID positive patients in the country and state wise, that would be excellent. And the no. of positive patients close to me or COVID hotspots close to me."
Fahad Qureshi,"November 25, 2020",Rated 1 stars out of five stars,1,0,App was working fine for past 7 months. All of a sudden it stopped working. Reinstalled it from playstore. Now it says ...There is some Error locking you in. Nonsense.
Ashish Goyal,"July 29, 2020",Rated 2 stars out of five stars,2,1184,"The part of the app that tells how many cases are there in a certain radius like 500m, 1km, etc etc.It doesnt appear everytime. Thats probably the most important thing which had to be on the main screen always. Sometimes it shows up, but most of the times it doesn't show up, no matter what you do our however times you restart the app. Also, there's no other option to open / reach that area."
nashi,"September 29, 2020",Rated 3 stars out of five stars,3,0,Can be a useful tool for covid preventing if everyone is using and updating. the ui sucks. Needs more clarity in design. 'In your area ' tab needs more importance. Cant properly read while the content scrolls up in a 30pxl gap.
Sumit Kumar Yadav,"September 18, 2020",Rated 2 stars out of five stars,2,0,Status is not being shown in the app? It is also showing after several attempts like uninstalling and installing. There is also no problem with network. Cant guess what has gone wrong!
Harsh singh chandrawat,"October 20, 2020",Rated 1 stars out of five stars,1,0,"I am not able to login to the app. After giving phone number and pressing submit. ""There is some error logging you in"" error is showing. No otp is triggering."
Mayank Soni,"October 2, 2020",Rated 4 stars out of five stars,4,0,"Why its status check option is not working on my phone... Few other option is also not working , specially the status check option is not working... When I click submit it stopped status check.. And every other option still works. Please help"
John Zandbergen,"July 20, 2020",Rated 3 stars out of five stars,3,1969,"Good and important app, but the important information is difficult to find. Would be good if the size of the most important section 'in your area now' was increased so users do not have to wait until the information scrolls by. Also, it would be good if media-files were tagged with language. From the title it is not clear which ones are in Hindi and which are in English or other languages. Almost all movies are in Hindi, ignoring those (Tamil Nadu) who don't speak it. The back-button on my phone closes the app instead of going back to the previous screen. Hope you can do something with this feedback (for version 1.4.1)"
Durgendra Dhakar,"October 11, 2020",Rated 3 stars out of five stars,3,73,"How can be active cases go negative count..? active cases is always positive number or zero..? Please update the issue.. Sorry maybe if i am wrong in.. dashboard ""COVID updates"" in ""active"" cases ""-15689"" on 11 Oct 2020 (or last few days) in cumulative daily there is a NEGATIVE SIGN..which indicates active cases going down below the graph negative curve.. Pls verify.. is the sign should be positive or negative.."
Akhil Shukla,"November 18, 2020",Rated 1 stars out of five stars,1,0,"Irritating App. I am using Samsung M30S with Airtel 4G connection. I was de-registered from the Arogyasetu App automatically. I have updated the App on 17 Nov 20, still can't get registered tto the App. Worst performing App."
Steve M.,"August 7, 2020",Rated 1 stars out of five stars,1,599,"Stopped working!! I have to use this app to go to work, and it suddenly shows up with a web page error, like anyone who thinks this might be an internet or bluetooth issue I put my phone in airplane mode and turn it off, but get the same error. Since I need it to work I uninstall it and install it back, and this time it won't even register my number, needless to say I could not go to work due to this.. When there is so much dependency on this app, issues need to get resolved soon!!!"
nitin ranakoti,"September 29, 2020",Rated 3 stars out of five stars,3,0,"Previous version were working ok.But after update its not showing my status ,only loading or buffering logo is running. I have to travel by air ,need this app for verification . help please."
uday barua,"November 22, 2020",Rated 1 stars out of five stars,1,1,Not functioning maximum time. Showing 403 forbidden. But whenever I restart my phone its start working for 2 to 3 mins after that again 403 forbidden comes. Airtel and VI I have in same phone Samsung A21s android model
BPL Narasimhan,"August 9, 2020",Rated 4 stars out of five stars,4,1966,"Because of the updated version of the App, I could know that I had come in contact with an infected person. I stayed put at home and came back to "" You are safe"" status. Great App! Of late, since August 2020, the App messages especially in contacts duration category is erratic. For a specific date contact, if the duration is shown as 1 minute on that day, it is shown as 81 minutes for the same day after 2 or 3 days. Surprising! Needs attention!"
Dhaval Thakor,"October 29, 2020",Rated 1 stars out of five stars,1,7,"working is stopped. I have to use this app to go to work, and it suddenly shows up with a web page error, like anyone who thinks this might be an internet or bluetooth issue. I put my phone in airplane mode and turn it off, but get the same error."
Vikas Gupta,"November 27, 2020",Rated 1 stars out of five stars,1,0,I have been diagnosed with Covid 19 on 14.11.2020 and its status is showing as You are safe. How come this app is showing wrong status and the purpose for which it was used by the government for contact tracing is nullify as it's status is not at all changing.
Bhupendra Sahu,"November 19, 2020",Rated 2 stars out of five stars,2,1,"It's not good but not bad as well. Developer should update required important things i.e. notification when you have passed any Covid-19 systomns or patient, health report of your local area or no of cases can be updated in this app so that the person who is using this can take more precautions as per received details through this app."
Avinash Avikam,"October 10, 2020",Rated 1 stars out of five stars,1,0,"This app is just garbage and of Seriously no use. Govt making it compulsory for airline travel and hospital visit but it's totally useless app. I'm a covid +ve patient and in hospital for around 10 days. All around me are only covid patients and this app shows I'm safe and recent interaction it show only moderate risk. Is this some joke going here. No interaction detection, no alert, false data. It's more useless and garbage like any other Chinese app. We are made fool."
Dharmendra Singh,"November 8, 2020",Rated 3 stars out of five stars,3,1,"This app automatically logged out and now I am trying to log in so many times, but not getting OTP message. Is making problem for me. At least should have other options to get OTP, like voice call..."
Girish Kumar G,"December 1, 2020",Rated 1 stars out of five stars,1,0,"My father and myself, were in hospital from 26 nov to 30 nov 20. Both versions are up todate. Blue tooth always on. My fathers status shows contact with 48 users (5 moderate, 37 healthy, 6 unknown). But mine sethu app says, contact with 9 healthy only. Sync also done as and when asked."
Chetan Rao,"November 24, 2020",Rated 3 stars out of five stars,3,0,"I am using this app from last 6 months and it was showing me as Green-You are safe till 18th Nov when I went for a Covid 19 test in Nasik, Maharashtra at Datar Diagnostics which is a reputed centre and I was diagnosed as Negative. The same day in the evening my app started to show me as Covid 19 positive. I wrote with all details to support.aarogyasetu.gov.in but they mailed that the Covid 19 Postive on my app will go after 14 days and I have to stay quarantined. I dont understand this logic."
shikha sareen,"November 7, 2020",Rated 1 stars out of five stars,1,1,Useless.... I haven't gone outside for more than 10 minutes and it is showing high risk and showing that i have been in contact with the infected person almost daily and more than 2 to 3 hrs....and also at night time when everyone is actually sleeping.... And strange is my husband staying in same home is shown safe.... I have even contacted through mail but no updation they are doing.
Sachin Bhandari,"November 19, 2020",Rated 1 stars out of five stars,1,1,"Bakwaas. Tbere ks no help in the system. My wife and parents just got infected with corona. The app was installed.on all their mobiles , we follwed regular asseasments and all instruxtiins. No alert was given to us. The app is of no use after the infection happens. The hwlpline does not ahve data, the app does not.ahbe data. All nonsense. Juat a conspiracy to steal data and track. movements. Avoid everyone. Please. Thisndoes nothingbtonprotect and no help after as well. Typical Sarkari app."
SAMISHU,"November 17, 2020",Rated 4 stars out of five stars,4,0,Hi this app is good but please add option of log in this will help If we uninstall this app and then install registering the mobile number show error Please developer make this right it will help a lot Thankyou AAROGYA SETU..
vanila miranda,"November 29, 2020",Rated 1 stars out of five stars,1,0,Such a pathetic app. By God's grace I'm so for n fine but this bloody app is showing moderate risk for past 8 days bcz of which i cant even go to work. This bloody thing had happened for the 4th time in last 2 months. God knows why such useless app is even necessary to be installed. Pathetic.
Amit Vyas,"September 30, 2020",Rated 5 stars out of five stars,5,3,"Had some error so uninstalled then again trying to install and registering it shows error n number of times, even tried with 2and number/sim in phone.. any suggestion for ratification if problem.. Changing my review, thanks to support team for resolving my problem..."
DEVENDRA KUMAR MAURYA,"November 18, 2020",Rated 1 stars out of five stars,1,0,Kindly UPDATE detls of covid negative patient also...in app...because when I tested positive the app got updated that I am positive but when I tested negative the data base has not been updated and it still shows me positive..
Anuj Dubey,"November 18, 2020",Rated 1 stars out of five stars,1,1,Totally useless app. It's just a formality or can say Compulsion to download it. Govt. Cell should think something innovatively so as to improve the function of this App for what it's really intended.
Raky Sharma,"November 24, 2020",Rated 1 stars out of five stars,1,0,I have been treated and recovered from COVID but the App still indicates me Positive. There is no way to set Status to Recovered. This has become a liability and stigmatic. And you get a standard reply to send full details of your device. Cant the developer ensure complatibility for all devices and Android versions?
Parisa Visal,"November 6, 2020",Rated 2 stars out of five stars,2,0,This app did not accept my number when required. I was at the passport office and there it is compulsory to show this app .... Because of this app it took mi extra 2 hours . Didn't like this application at all. Very sad .
Neetu Rustagi,"November 21, 2020",Rated 1 stars out of five stars,1,0,I'm facing issues in logging in to the app. I have tried every possible way but it's not working.. this is very disappointing 😔
Damayanti Laha,"November 12, 2020",Rated 1 stars out of five stars,1,0,"I am not able to register. It says ""there is some errorogging you in"". I have uninstalled and reinstalled. But same error i am getting. Its very troublesome"
NIRUPA P,"October 1, 2020",Rated 1 stars out of five stars,1,3,Totally useless app. Installation of this app was necessary even in those remote areas where there is no basic internet facility especially for government servants. This way the government is working remarkably to curb Corona from India unlocking in parts.
iHiren Trivedi,"November 6, 2020",Rated 4 stars out of five stars,4,1,"Registered earlier, automatically unregistered, now cannot re-register. Thanks for the suggestion, tried that clearing cache. I can now register after uninstalling and re installing the app. BUT i had to do that 3 times."
Manaswi Manjappa Gundi,"December 10, 2020",Rated 1 stars out of five stars,1,0,The app says you're safe if you say you have no symptoms. It requires you to have your Bluetooth turned on at all times. Absurd. Privacy risk for sure
vasant kadam,"November 6, 2020",Rated 3 stars out of five stars,3,0,"Tried registering and it is working now. No issue now. Thank you Unable to Register. While registering after entering phone no., getting error logging in. So unable to register and use the app?"
Kartik Gupta,"September 22, 2020",Rated 5 stars out of five stars,5,1,A feature of Augmented Reality safe zone could be added where we can see our safe zone that moves along with us. This could be a very good feature .. The app is otherwise very good.
Tejas S,"August 7, 2020",Rated 1 stars out of five stars,1,353,"""There is some error logging you in"" - I have been getting this issue everytime I try to log in using my mobile number. It was working well before. Location is set to always on Bluetooth is on. No VPN. Restarted my phone, tried reinstalling the app, but to no avail. I don't understand what can I do more. I have a flight to catch and they say this app is compulsory."
Vishal Jaldawar,"October 3, 2020",Rated 1 stars out of five stars,1,0,I am getting an error while registering. Error reads as 'there is some error logging you in'. I tried with my another mobile device and it's the same error.
JOSE TOM,"September 26, 2020",Rated 1 stars out of five stars,1,2,The worst application i have installed after installing the app my phone is getting stucked and it was for the first time i was waiting my phone to get back to normal stage i have installed this because it was mandatory for the examination also it always ask for turning on bluetooth while opening app.please don't install this.
Arputharaj Johnson,"October 16, 2020",Rated 1 stars out of five stars,1,1,Read my query before asking for technical details. Even after choosing the option not my number and provided my relatives info it shows my number as positive. Even after complaints and sending the proofs no Solution. Without proper operation procedure why citizen are forced to use this app.
Mayur Narkhede,"November 2, 2020",Rated 2 stars out of five stars,2,0,Design/UI Issue...If you see the lines that are scrolling of 1km it's not coming in center and stop to read. It is perfect in 500m only. Each lines should scroll and stop at center pause for few time and leave. Please fix this.
Darshan Prasad,"September 22, 2020",Rated 2 stars out of five stars,2,0,"This app needs an update, where it should give some live notification or alert if someone infected is nearby. It shows after 2 3 days that I got in touch with infected person...What's the point of knowning it that much late."
shweta kumari,"October 30, 2020",Rated 1 stars out of five stars,1,0,Wrong information. I don't go out at all. Still it shows that I came in contact with few people. Whereas my husband goes out and data shows only 1 or 2 people he interacted with. Both phones have Bluetooth on always. Useless app
Shyamal Kumar Bhattacharya,"November 20, 2020",Rated 1 stars out of five stars,1,0,It is good for nothing. For last 7 months it is showing same thing Covid19 patient is within 1km near me but the fact is Covid19 patient was even 100meter near to me at one time. So this app is bogus.
Anil Khera,"October 20, 2020",Rated 2 stars out of five stars,2,1,"Does Aarogya Setu App gives you the right result ? Using Blue tooth it captures the data. Assume you are walking and will pass thru homes/ people all at 6 ft plus distance but it will capture the data and if any one becomes Covid positive , App will say you have come in contact with Covid infected person and status will become Red. And many such cases like delivery boy delivers outside the home or you are standing in balcony . Showing incorrect information in logs."
GANESH LAKADE,"December 2, 2020",Rated 1 stars out of five stars,1,0,"Its of no use unless and untill postive patient uses it with correct information. One positive patient is living in my next building (at less than 100 m away), but Aarogya Setu didnt show any nearby postive patient."
Priyanka Roy,"October 2, 2020",Rated 1 stars out of five stars,1,1,I am unable to register my phone number. I keep getting an error message stating there's an error in registering my mobile number. Hence I am unable to use this app and I need to download it for travel
